Model,Year,Motor Type,Mileage,Color,Body Type,Price,Motor Volume,Transmission Type,Transmission Speeds,date,Manuf,Model Short
Citroen Berlingo,2020.0,Dīzelis,154000.0,Pelēka,Minivens,12500.0,1.5,Manuāla,,2024-10-12,Citroen,Berlingo
Citroen Jumper,2012.0,Dīzelis,228829.0,Balta,Mikroautobuss,3300.0,2.2,Manuāla,5.0,2024-10-12,Citroen,Jumper
Citroen Citi,2012.0,Dīzelis,228829.0,Balta,Mikroautobuss,3300.0,2.2,Manuāla,,2024-10-12,Citroen,Citi
Citroen C8,2005.0,Benzīns/gāze,275713.0,Gaiši,Minivens,400.0,2.2,Manuāla,5.0,2024-10-12,Citroen,C8
Citroen C-Crosser,2008.0,Dīzelis,300071.0,Pelēkametālika,Apvidus,3500.0,2.2,Manuāla,6.0,2024-10-12,Citroen,C-Crosser
Citroen C4 Picasso,2014.0,Benzīns,,Balta,Minivens,8500.0,1.6,Automāts,,2024-10-12,Citroen,C4 Picasso
Citroen C4 Picasso,2010.0,Dīzelis,260000.0,Brūnametālika,Minivens,3000.0,1.6,Automāts,,2024-10-12,Citroen,C4 Picasso
Citroen Nemo,2012.0,Dīzelis,170300.0,Balta,Mikroautobuss,2100.0,1.3,Manuāla,,2024-10-12,Citroen,Nemo
Citroen Xsara Picasso,2002.0,Dīzelis,308000.0,Zaļa,Minivens,250.0,2.0,Manuāla,5.0,2024-10-12,Citroen,Xsara Picasso
Citroen C4,2008.0,Benzīns/gāze,292000.0,Melnametālika,Kupeja,1900.0,2.0,Manuāla,5.0,2024-10-12,Citroen,C4
Citroen Berlingo,2012.0,Dīzelis,,Tumši,Pikaps,3750.0,1.6,Manuāla,6.0,2024-10-12,Citroen,Berlingo
Citroen Jumpy,2018.0,Dīzelis,,Sudrabametālika,Mikroautobuss,24690.0,2.0,Automāts,,2024-10-12,Citroen,Jumpy
Citroen C5 Aircross,2019.0,Dīzelis,,Balta,Universāls,16250.0,2.0,Automāts,8.0,2024-10-12,Citroen,C5 Aircross
Citroen C1,2007.0,Benzīns,,Sarkana,Hečbeks,1490.0,1.0,Automāts,,2024-10-12,Citroen,C1
Citroen C-Elysee,2019.0,Benzīns,,Balta,Sedans,5900.0,1.2,Manuāla,5.0,2024-10-12,Citroen,C-Elysee
Citroen C-Crosser,2008.0,Dīzelis,310251.0,Pelēka,Apvidus,5590.0,2.2,Manuāla,,2024-10-12,Citroen,C-Crosser
Citroen C4 Cactus,2019.0,Dīzelis,52323.0,Baltametālika,Hečbeks,13590.0,1.6,Manuāla,,2024-10-12,Citroen,C4 Cactus
Citroen Jumpy,2017.0,Dīzelis,183750.0,Brūna,Minivens,14590.0,2.0,Manuāla,,2024-10-12,Citroen,Jumpy
Citroen Jumper,2016.0,Dīzelis,,Sarkana,-,10000.0,2.2,Manuāla,6.0,2024-10-12,Citroen,Jumper
Citroen C4 Cactus,2014.0,Benzīns,,Sarkanametālika,Hečbeks,6750.0,1.2,Manuāla,,2024-10-12,Citroen,C4 Cactus
Citroen C-Elysee,2014.0,Dīzelis,371000.0,Balta,Sedans,2350.0,1.6,Manuāla,,2024-10-12,Citroen,C-Elysee
Citroen Berlingo,2006.0,Dīzelis,,,Minivens,2750.0,1.6,Manuāla,5.0,2024-10-12,Citroen,Berlingo
Citroen Berlingo,2014.0,Dīzelis,276019.0,Brūna,Universāls,4495.0,1.6,Manuāla,,2024-10-12,Citroen,Berlingo
Citroen C8,2006.0,Benzīns/gāze,,Pelēka,Minivens,1650.0,2.0,Manuāla,5.0,2024-10-12,Citroen,C8
Citroen C4 Picasso,2011.0,Dīzelis,,Sudrabametālika,Hečbeks,4490.0,1.6,Automāts,,2024-10-12,Citroen,C4 Picasso
Citroen C5,2005.0,Benzīns,209100.0,Melna,Universāls,1600.0,2.0,Manuāla,,2024-10-12,Citroen,C5
Citroen C4 Picasso,2015.0,Dīzelis,173812.0,Balta,Minivens,6200.0,2.0,Manuāla,6.0,2024-10-12,Citroen,C4 Picasso
Citroen C4 Picasso,2015.0,Dīzelis,173812.0,Balta,Minivens,6200.0,2.0,Manuāla,6.0,2024-10-12,Citroen,C4 Picasso
Citroen C8,2005.0,Dīzelis,330000.0,Sarkana,Minivens,850.0,2.0,Manuāla,5.0,2024-10-12,Citroen,C8
Citroen DS,2012.0,Dīzelis,,Pelēkametālika,Hečbeks,8990.0,2.0,Automāts,6.0,2024-10-12,Citroen,DS
Citroen Berlingo,2011.0,Dīzelis,247383.0,Pelēkametālika,Mikroautobuss,3900.0,1.6,Manuāla,5.0,2024-10-12,Citroen,Berlingo
Citroen C4 Picasso,2008.0,Benzīns,242412.0,Pelēkametālika,Minivens,3450.0,1.8,Manuāla,5.0,2024-10-12,Citroen,C4 Picasso
Citroen Berlingo,2005.0,Dīzelis,179072.0,Gaiši,Minivens,2500.0,2.0,Manuāla,,2024-10-12,Citroen,Berlingo
Citroen Berlingo,2014.0,Dīzelis,160000.0,Pelēkametālika,-,4700.0,1.6,Manuāla,,2024-10-12,Citroen,Berlingo
Citroen C4 Picasso,2008.0,Dīzelis,200000.0,Tumši,-,3000.0,1.6,Manuāla,5.0,2024-10-12,Citroen,C4 Picasso
Citroen C4 Cactus,2015.0,Dīzelis,220000.0,Melna,Hečbeks,5999.0,1.6,Manuāla,5.0,2024-10-12,Citroen,C4 Cactus
Citroen C4 Picasso,2010.0,Dīzelis,,Pelēkametālika,Minivens,3750.0,2.0,Automāts,,2024-10-12,Citroen,C4 Picasso
Citroen C4,2007.0,Benzīns,205231.0,Dzeltenametālika,Hečbeks,1400.0,1.6,Manuāla,5.0,2024-10-12,Citroen,C4
Citroen Berlingo,2014.0,Dīzelis,,Balta,Pikaps,2990.0,1.6,Manuāla,5.0,2024-10-12,Citroen,Berlingo
Citroen C4 Picasso,2007.0,Dīzelis,245000.0,Pelēka,Hečbeks,3200.0,2.0,Automāts,,2024-10-12,Citroen,C4 Picasso
Citroen C3,2020.0,Benzīns,30742.0,Baltametālika,Hečbeks,10990.0,1.2,Manuāla,,2024-10-12,Citroen,C3
Citroen Xsara Picasso,2006.0,Benzīns,200200.0,Melnametālika,Minivens,1990.0,2.0,Automāts,,2024-10-12,Citroen,Xsara Picasso
Citroen DS,2012.0,Dīzelis,330697.0,Melna,Hečbeks,3990.0,2.0,Manuāla,,2024-10-12,Citroen,DS
Citroen Jumpy,2016.0,Dīzelis,175915.0,Balta,Minivens,5900.0,2.0,Manuāla,6.0,2024-10-12,Citroen,Jumpy
Citroen C5 Aircross,2023.0,Dīzelis,27692.0,Baltametālika,Apvidus,25900.0,1.5,Automāts,8.0,2024-10-12,Citroen,C5 Aircross
Citroen Jumpy,2019.0,Dīzelis,205000.0,Sudrabametālika,Mikroautobuss,19900.0,2.0,Automāts,8.0,2024-10-12,Citroen,Jumpy
Citroen C4,2008.0,Dīzelis,250000.0,Oranžametālika,Hečbeks,2250.0,1.6,Manuāla,,2024-10-12,Citroen,C4
Citroen C4 Cactus,2015.0,Benzīns,,Baltametālika,Hečbeks,7400.0,1.2,Manuāla,,2024-10-12,Citroen,C4 Cactus
Citroen Berlingo,2004.0,Dīzelis,403000.0,Brūna,Minivens,1100.0,2.0,Manuāla,5.0,2024-10-12,Citroen,Berlingo
Citroen C8,2005.0,Benzīns,245500.0,Pelēkametālika,Mikroautobuss,600.0,3.0,Automāts,4.0,2024-10-12,Citroen,C8
Citroen C4,2006.0,Benzīns,,Melna,Hečbeks,990.0,2.0,Manuāla,,2024-10-12,Citroen,C4
Citroen C4 Picasso,2015.0,Dīzelis,254930.0,Gaiši,Minivens,6950.0,1.6,Manuāla,6.0,2024-10-12,Citroen,C4 Picasso
Citroen C3,2014.0,Dīzelis,229400.0,Brūnametālika,-,5700.0,1.6,Manuāla,,2024-10-12,Citroen,C3
Citroen C4 Picasso,2015.0,Dīzelis,271000.0,Balta,Minivens,10500.0,1.6,Automāts,6.0,2024-10-12,Citroen,C4 Picasso
Citroen C4 Picasso,2010.0,Dīzelis,226000.0,Brūnametālika,Minivens,3400.0,1.6,Manuāla,,2024-10-12,Citroen,C4 Picasso
Citroen Berlingo,2019.0,Dīzelis,191800.0,Balta,Minivens,10900.0,1.5,Manuāla,6.0,2024-10-12,Citroen,Berlingo
Citroen C4,2006.0,Benzīns,111500.0,Sarkana,Hečbeks,2800.0,1.6,Manuāla,5.0,2024-10-12,Citroen,C4
Citroen DS,2014.0,Dīzelis,185000.0,Zila,Sedans,8150.0,2.0,Manuāla,6.0,2024-10-12,Citroen,DS
Citroen C-Crosser,2009.0,Dīzelis,187000.0,Melnametālika,Apvidus,5850.0,2.2,Manuāla,6.0,2024-10-12,Citroen,C-Crosser
Citroen Jumper,2012.0,Dīzelis,317000.0,Balta,Mikroautobuss,5600.0,2.2,Manuāla,6.0,2024-10-12,Citroen,Jumper
Citroen Xantia,1995.0,Benzīns,165400.0,Zila,Sedans,1000.0,1.8,Automāts,,2024-10-12,Citroen,Xantia
Citroen Berlingo,2009.0,Dīzelis,327081.0,Sarkana,Minivens,2350.0,1.6,Manuāla,5.0,2024-10-12,Citroen,Berlingo
Citroen C4,2007.0,Benzīns,251864.0,Sarkana,Kupeja,1200.0,1.6,Automāts,,2024-10-12,Citroen,C4
Citroen C5,2009.0,Dīzelis,,Melnametālika,Universāls,2690.0,1.6,Manuāla,5.0,2024-10-12,Citroen,C5
Citroen DS,2012.0,Hybrid,,Melna,Hečbeks,6950.0,2.0,Automāts,,2024-10-12,Citroen,DS
Citroen Jumper,2008.0,Dīzelis,243819.0,Pelēka,Minivens,9995.0,2.2,Manuāla,,2024-10-12,Citroen,Jumper
Citroen Berlingo,2018.0,Dīzelis,178625.0,Pelēka,-,7400.0,1.6,Manuāla,,2024-10-12,Citroen,Berlingo
Citroen Berlingo,2024.0,Dīzelis,10.0,Zila,Minivens,26300.0,1.5,Manuāla,6.0,2024-10-12,Citroen,Berlingo
Citroen Jumpy,2024.0,Benzīns,10.0,Zila,Mikroautobuss,42540.0,2.0,Automāts,8.0,2024-10-12,Citroen,Jumpy
Citroen C4 Picasso,2015.0,Dīzelis,112900.0,Zila,Minivens,10500.0,1.6,Automāts,,2024-10-12,Citroen,C4 Picasso
Citroen Jumper,2008.0,Dīzelis,283000.0,Zila,Mikroautobuss,3690.0,2.2,Manuāla,6.0,2024-10-12,Citroen,Jumper
Citroen C4,2007.0,Dīzelis,388000.0,Sarkana,Kupeja,2200.0,1.6,Manuāla,,2024-10-12,Citroen,C4
Citroen C5,2012.0,Dīzelis,,Zila,Universāls,5450.0,2.0,Manuāla,,2024-10-12,Citroen,C5
